
+---------------+       +------------------------------------------------+
| RYERSON       |       | RPM and Motor Control                          |
| APPLIED       |       | https://github.com/raalf/TestStand             |
| AERODYNAMICS  |       | Throttle %: Enter ## (0 - 100)                 |
| LABORATORY OF |       | Hold Current RPM: Enter h                      |
| FLIGHT        |       | Hold Specific RPM: Enter h #### (1000 - 9000)  |
+---------------+       +------------------------------------------------+

Warning: Do not connect power supply.

Please turn on the power supply.
Waiting to initialize...
 
Please enter the number of blades on the propeller 'b', Press ENTER:
b = 2

Ready to Stream.

Time(ms) Throttle(%) RPS   RPM   PID STATE (ERROR)
45780	22.00	16.54	992.60	PID OFF
45901	22.00	16.49	989.64	PID OFF
46022	22.00	16.50	989.70	PID OFF
46144	22.00	16.48	989.06	PID OFF
46265	22.00	16.47	988.47	PID OFF
46387	22.00	16.46	987.59	PID OFF
46508	22.00	16.42	985.52	PID OFF
46629	22.00	16.45	986.59	PID OFF
46751	22.00	16.43	986.06	PID OFF
46873	22.00	16.40	984.26	PID OFF
47030	22.00	16.45	986.58	PID GOTO 1001.00	(14.42)
47248	22.00	16.50	989.75	PID GOTO 1001.00	(11.25)
47461	22.07	16.52	991.01	PID GOTO 1001.00	(9.99)
47673	22.08	16.51	990.72	PID GOTO 1001.00	(10.28)
47885	22.09	16.54	992.46	PID GOTO 1001.00	(8.54)
48096	22.09	16.57	993.76	PID GOTO 1001.00	(7.24)
48308	22.09	16.59	995.25	PID GOTO 1001.00	(5.75)
48519	22.09	16.58	994.69	PID GOTO 1001.00	(6.31)
48730	22.10	16.62	997.14	PID GOTO 1001.00	(3.86)
48941	22.09	16.60	995.89	PID GOTO 1001.00	(5.11)
49150	22.10	16.58	994.70	PID GOTO 1001.00	(6.30)
49361	22.11	16.55	992.92	PID GOTO 1001.00	(8.08)
49573	22.13	16.52	991.62	PID GOTO 1001.00	(9.38)
49785	22.14	16.51	990.90	PID GOTO 1001.00	(10.10)
49997	22.16	16.47	988.42	PID GOTO 1001.00	(12.58)
50209	22.18	16.51	990.58	PID GOTO 1001.00	(10.42)
50421	22.18	16.55	992.57	PID GOTO 1001.00	(8.43)
50633	22.18	16.55	992.94	PID GOTO 1001.00	(8.06)
50844	22.19	16.57	993.81	PID GOTO 1001.00	(7.19)
51056	22.19	16.57	994.31	PID GOTO 1001.00	(6.69)
51267	22.20	16.59	995.55	PID GOTO 1001.00	(5.45)
51478	22.20	16.65	998.60	PID GOTO 1001.00	(2.40)
51689	22.19	16.70	1001.60	PID GOTO 1001.00	(-0.60)
51899	22.17	16.69	1001.36	PID GOTO 1001.00	(-0.36)
52109	22.18	16.68	1000.62	PID GOTO 1001.00	(0.38)
52319	22.18	16.66	999.88	PID GOTO 1001.00	(1.12)
52529	22.18	16.64	998.67	PID GOTO 1001.00	(2.33)
52739	22.19	16.61	996.76	PID GOTO 1001.00	(4.24)
52950	22.20	16.60	996.27	PID GOTO 1001.00	(4.73)
53159	22.21	16.61	996.58	PID GOTO 1001.00	(4.42)
53370	22.21	16.61	996.55	PID GOTO 1001.00	(4.45)
53581	22.22	16.60	996.07	PID GOTO 1001.00	(4.93)
53792	22.22	16.58	994.83	PID GOTO 1001.00	(6.17)
54003	22.23	16.57	994.17	PID GOTO 1001.00	(6.83)
54214	22.24	16.55	993.10	PID GOTO 1001.00	(7.90)
54426	22.26	16.55	993.05	PID GOTO 1001.00	(7.95)
54637	22.26	16.55	993.23	PID GOTO 1001.00	(7.77)
54848	22.27	16.60	995.56	PID GOTO 1001.00	(5.44)
55060	22.27	16.59	995.20	PID GOTO 1001.00	(5.80)
55271	22.27	16.56	993.80	PID GOTO 1001.00	(7.20)
55482	22.29	16.57	994.07	PID GOTO 1001.00	(6.93)
55693	22.29	16.58	994.75	PID GOTO 1001.00	(6.25)
55904	22.30	16.62	997.20	PID GOTO 1001.00	(3.80)
56115	22.29	16.64	998.40	PID GOTO 1001.00	(2.60)
56326	22.29	16.67	999.96	PID GOTO 1001.00	(1.04)
56536	22.28	16.69	1001.20	PID GOTO 1001.00	(-0.20)
56745	22.28	16.71	1002.35	PID GOTO 1001.00	(-1.35)
